name,fips,code,number,district,district_code,census_2010_white,census_2010_black,census_2010_latino,census_2010_api,census_2010_native,census_2010_other,acs_2015_pct_bachelor_ge25,acs_2015_pct_bachelor_white_ge25,acs_2015_median_hh_income,2016_pres_total,2016_pres_d,2016_pres_r,2016_pres_other,2012_pres_total,2012_pres_d,2012_pres_r,2012_pres_other,2008_pres_total,2008_pres_d,2008_pres_r,2008_pres_other,2016_house_total,2016_house_d,2016_house_r,2016_house_other,2014_house_total,2014_house_d,2014_house_r,2014_house_other,2012_house_d,2012_house_r,2012_house_other,2016_pvi,2012_pvi,2008_pvi,pop_total,pop_white,pop_black,pop_latino,pop_api,pop_native,pop_other,pop_total_ge18,pop_white_ge18,pop_black_ge18,pop_latino_ge18,pop_api_ge18,pop_native_ge18,pop_other_ge18
California,06,CA,33,California 33rd,CA-33,70.1,2.8,10.3,13.7,0.2,2.9,62.4,65.9,"$97,074","353,897","239,982","93,706",,"346,504","210,010","127,421",,"350,465","229,683","120,782",,"330,219","219,397","110,822",0,"183,031","108,331","74,700",0,"171,860","146,660",,20.8,10.3,11.8,"697,199","476,364","19,387","78,838","94,476","1,101","27,033","568,279","398,285","15,806","58,795","78,114",925,"16,354"
California,06,CA,34,California 34th,CA-34,10.9,5.1,60.5,22.1,0.2,1.2,24.1,55.5,"$38,326","184,601","154,259","19,784",,"153,699","127,510","21,739",,"135,799","108,129","27,670",,"159,156","159,156",0,0,"61,607","61,607",0,0,"120,367","20,223",,37.5,33.5,25.9,"705,324","64,935","31,020","461,664","137,158","1,362","9,185","539,883","58,861","27,285","326,761","119,107","1,121","6,748"
California,06,CA,35,California 35th,CA-35,19.1,7.2,65,7.2,0.3,1.3,14.9,24.3,"$56,215","188,611","127,757","50,822",,"161,732","108,983","49,433",,"160,361","106,523","53,838",,"171,353","124,044","47,309",0,"62,255","62,255",0,0,"142,680",0,,20.4,16.8,12.7,"699,719","110,455","46,303","487,449","43,584","1,692","10,236","484,975","92,609","34,824","315,064","34,918","1,326","6,234"
California,06,CA,36,California 36th,CA-36,51.9,3.5,39.5,3.1,0.7,1.3,19.6,28.6,"$46,471","237,370","123,795","103,051",,"212,939","107,914","101,156",,"205,988","106,785","99,203",,"232,617","144,348","88,269",0,"134,139","72,682","61,457",0,"110,189","97,953",,3.5,-0.3,-1.8,"700,371","310,748","25,061","326,871","20,622","5,052","12,017","521,859","270,869","18,295","205,919","16,231","3,641","6,904"
California,06,CA,37,California 37th,CA-37,27.2,24.8,34.3,10.6,0.2,2.8,37.7,65.5,"$51,114","276,134","236,621","26,608",,"261,858","222,329","33,307",,"255,824","220,967","34,857",,"237,272","237,272",0,0,"114,838","96,787","18,051",0,"207,039","32,541",,38.8,35,32.7,"705,221","172,925","172,513","271,274","65,280","1,174","22,055","553,286","150,708","137,337","189,967","58,812",952,"15,510"
California,06,CA,38,California 38th,CA-38,21.9,3.5,57.2,15.7,0.3,1.3,22.3,24.9,"$62,697","248,224","166,224","68,033",,"229,875","149,141","75,780",,"234,510","149,600","84,910",,"232,114","163,590","68,524",0,"98,480","58,192","40,288",0,"145,280","69,807",,19.8,14.3,10.1,"695,463","131,697","24,637","427,083","99,713","1,649","10,684","516,385","113,339","18,216","295,564","81,317","1,369","6,580"
California,06,CA,39,California 39th,CA-39,37.4,2.4,28.5,29.8,0.2,1.8,41.1,40.6,"$81,183","272,471","140,230","116,782",,"263,530","124,108","133,742",,"266,301","129,989","136,312",,"263,456","112,679","150,777",0,"133,225","41,906","91,319",0,"106,360","145,607",,3.4,-3.8,-4.9,"696,460","239,399","15,997","224,194","199,446","1,257","16,167","530,634","198,202","12,519","151,476","158,032","1,019","9,386"
California,06,CA,40,California 40th,CA-40,6.7,5.5,84.2,2.8,0.2,0.6,9.5,19.1,"$42,497","164,714","135,472","21,077",,"141,918","115,637","23,446",,"131,325","104,433","26,892",,"149,297","106,554",0,"42,743","49,379","49,379",0,0,"125,553",0,,35.4,31.2,25.8,"703,827","38,003","35,859","608,058","16,299",997,"4,611","478,423","31,970","26,289","402,942","13,599",779,"2,844"
California,06,CA,41,California 41st,CA-41,30.9,9.6,50.3,6.9,0.4,1.9,17,28.3,"$58,592","206,961","126,197","68,526",,"185,429","114,040","67,314",,"174,916","106,235","68,681",,"197,323","128,164","69,159",0,"82,884","46,948","35,936",0,"103,578","72,074",,13.7,10.9,7,"701,109","182,700","66,182","392,728","41,005","2,459","16,035","490,407","151,364","47,309","246,668","33,867","1,899","9,300"
California,06,CA,42,California 42nd,CA-42,50.8,5.3,32.1,9.3,0.4,2.1,24.1,26.3,"$72,536","268,305","111,103","143,175",,"232,520","96,212","131,438",,"212,612","95,675","116,937",,"254,236","104,689","149,547",0,"113,390","38,850","74,540",0,"84,702","130,245",,-7.4,-9.7,-8.7,"709,841","330,416","36,689","256,739","62,490","2,857","20,650","502,971","255,312","26,836","161,500","46,843","2,167","10,313"
