name,fips,code,number,district,district_code,census_2010_white,census_2010_black,census_2010_latino,census_2010_api,census_2010_native,census_2010_other,acs_2015_pct_bachelor_ge25,acs_2015_pct_bachelor_white_ge25,acs_2015_median_hh_income,2016_pres_total,2016_pres_d,2016_pres_r,2016_pres_other,2012_pres_total,2012_pres_d,2012_pres_r,2012_pres_other,2008_pres_total,2008_pres_d,2008_pres_r,2008_pres_other,2016_house_total,2016_house_d,2016_house_r,2016_house_other,2014_house_total,2014_house_d,2014_house_r,2014_house_other,2012_house_d,2012_house_r,2012_house_other,2016_pvi,2012_pvi,2008_pvi,pop_total,pop_white,pop_black,pop_latino,pop_api,pop_native,pop_other,pop_total_ge18,pop_white_ge18,pop_black_ge18,pop_latino_ge18,pop_api_ge18,pop_native_ge18,pop_other_ge18
Florida,12,FL,5,Florida 5th,FL-05,46.7,43.1,6,2.4,0.3,1.4,19.4,,"$37,436","312,071","191,194","111,892",,100,63.6,35.4,,100,63.2,35.9,,"302,874","194,549","108,325",0,,,,,,,,12,12.3,10.1,"693,320","298,405","317,227","45,553","15,790","2,241","14,104","528,480","246,880","228,004","31,765","12,589","1,807","7,435"
Florida,12,FL,6,Florida 6th,FL-06,79.5,8.9,8.8,1.5,0.3,1.1,23.8,,"$44,124","379,804","151,453","215,941",,100,46.6,52.2,,100,50.1,48.7,,"364,570","151,051","213,519",0,,,,,,,,-9.9,-4.8,-3,"699,410","534,141","68,545","72,835","10,704","1,958","11,227","564,224","448,394","50,236","49,490","8,540","1,607","5,957"
Florida,12,FL,7,Florida 7th,FL-07,66.8,8.9,18.7,3.9,0.2,1.5,36.6,,"$53,733","363,186","186,658","160,178",,100,49.4,49.4,,100,51.1,48,,"353,655","182,039","171,583",33,,,,,,,,2.7,-2,-2.1,"695,696","445,353","65,935","141,621","26,859","1,565","14,363","548,186","365,919","49,047","102,442","21,202","1,242","8,334"
Florida,12,FL,8,Florida 8th,FL-08,80.4,8.3,7.7,2,0.3,1.3,27.8,28.9,"$50,070","401,911","151,412","234,648",,100,42.1,56.6,,100,43.8,54.9,,"390,561","127,127","246,483","16,951","274,513","93,724","180,728",61,"130,870","205,432",,-11.9,-9.3,-9.3,"695,476","538,048","65,465","62,145","13,601","2,035","14,182","558,439","449,006","46,558","42,740","11,023","1,648","7,464"
Florida,12,FL,9,Florida 9th,FL-09,52.4,10.7,32.2,3,0.2,1.5,21.7,,"$45,489","356,530","195,368","149,352",,100,55.6,43.4,,100,54.6,44.5,,"339,761","195,311","144,450",0,,,,,,,,5.6,4.2,1.4,"693,475","334,024","79,271","244,747","20,291","1,544","13,598","520,247","272,500","55,761","167,633","15,555","1,239","7,559"
Florida,12,FL,10,Florida 10th,FL-10,44.1,25,23,5.4,0.2,2.3,30.2,,"$50,024","315,611","194,934","110,062",,100,60.7,38.4,,100,60.9,38.5,,"305,989","198,491","107,498",0,,,,,,,,12.8,9.3,7.6,"694,368","282,252","186,708","168,629","35,871","1,551","19,357","519,891","229,356","129,784","119,463","28,110","1,181","11,997"
Florida,12,FL,11,Florida 11th,FL-11,84.4,6,7.3,1.1,0.3,0.9,20.8,,"$43,422","410,998","133,448","266,256",,100,39.8,59.2,,100,42.6,56.1,,"394,719","124,713","258,016","11,990",,,,,,,,-17.7,-11.8,-10.5,"692,014","563,980","46,961","60,756","8,285","2,057","9,975","574,603","484,917","34,199","41,898","6,481","1,698","5,410"
Florida,12,FL,12,Florida 12th,FL-12,84.7,3.3,8.5,2.1,0.2,1.1,26.5,,"$47,988","380,357","147,759","218,487",,100,45.5,53,,100,47.4,51.2,,"369,669","116,110","253,559",0,,,,,,,,-10.8,-5.8,-5.6,"694,735","569,187","26,134","70,632","15,567","1,641","11,574","554,847","470,214","18,400","47,259","11,692","1,372","5,910"
Florida,12,FL,13,Florida 13th,FL-13,77.7,10.6,7.1,3,0.3,1.3,28.6,,"$46,368","360,760","178,892","167,348",,100,54.6,43.9,,100,55.5,43,,"355,842","184,693","171,149",0,,,,,,,,0.6,3.5,2.7,"697,259","515,948","85,309","58,531","22,253","1,685","13,533","572,547","445,128","60,558","40,776","17,380","1,436","7,269"
Florida,12,FL,14,Florida 14th,FL-14,52.1,16.4,25.8,3.9,0.2,1.6,35.2,,"$48,305","330,433","188,870","128,797",,100,57.6,41.2,,100,58.1,40.9,,"316,877","195,789","121,088",0,,,,,,,,8.3,6.3,5,"699,039","340,252","125,058","190,290","27,136","1,469","14,834","540,408","281,502","88,675","139,462","21,044","1,192","8,533"
Florida,12,FL,15,Florida 15th,FL-15,67.3,12.3,16.1,2.6,0.3,1.4,25.5,,"$51,900","334,518","144,225","177,635",,100,46.6,52.2,,100,46.7,52.1,,"318,474","135,475","182,999",0,,,,,,,,-6.3,-4.8,-6.4,"704,327","445,708","93,944","129,668","18,080","2,121","14,806","533,364","358,784","65,689","85,793","13,726","1,656","7,716"
Florida,12,FL,16,Florida 16th,FL-16,78.2,6.6,12.3,1.7,0.2,0.9,31,,"$54,249","396,807","170,442","213,271",,100,45.1,53.7,,100,47.7,51.2,,"385,916","155,262","230,654",0,,,,,,,,-6.7,-6.3,-5.5,"698,285","512,728","54,263","107,028","12,118","1,435","10,713","555,284","434,488","36,859","68,393","9,199","1,122","5,223"
Florida,12,FL,17,Florida 17th,FL-17,80.1,6.3,11.4,1.1,0.3,0.8,20.7,,"$46,040","353,861","123,919","220,156",,100,41.3,57.6,,100,43.9,54.7,,"338,675","115,974","209,348","13,353",,,,,,,,-15.1,-10.2,-9.2,"694,462","527,934","49,044","98,462","7,898","2,357","8,767","563,830","451,382","35,688","64,393","6,113","1,726","4,528"
Florida,12,FL,18,Florida 18th,FL-18,74.2,10.5,12.2,1.8,0.2,1.1,30.5,,"$54,812","382,474","168,558","203,771",,100,47.7,51.4,,100,51.2,47.9,,"375,918","161,918","201,488","12,512",,,,,,,,-5.8,-3.8,-2,"699,427","490,338","84,043","99,561","12,911","1,339","11,235","557,944","414,197","58,602","67,959","10,022","1,002","6,162"
Florida,12,FL,19,Florida 19th,FL-19,77.2,5.7,14.8,1.3,0.2,0.9,31,35.1,"$53,878","381,158","143,001","227,097",,100,38.7,60.5,,100,42.3,56.8,,"363,166","123,812","239,225",129,"246,861","80,824","159,354","6,683","109,746","189,833",,-12.5,-13,-11,"696,429","504,100","48,193","124,310","9,386","1,291","9,149","569,135","439,097","32,411","84,305","7,315","1,001","5,006"
Florida,12,FL,20,Florida 20th,FL-20,25.2,47.5,22.6,2.6,0.2,1.9,22.6,,"$43,461","288,811","231,596","52,251",,100,82.5,17.1,,100,80.9,18.6,,"277,560","222,914","54,646",0,,,,,,,,30.5,30.9,27.6,"703,209","152,398","353,590","162,452","17,926","1,231","15,612","523,033","131,678","248,635","118,013","13,843",863,"10,001"
Florida,12,FL,21,Florida 21st,FL-21,66.8,11.7,17.8,2.3,0.1,1.2,35.5,,"$55,836","351,661","206,239","137,490",,100,60.4,38.9,,100,63.4,35.9,,"335,861","210,606","118,038","7,217",,,,,,,,8.9,8.9,10.2,"689,378","429,055","93,851","137,674","16,422","1,175","11,201","554,416","370,463","65,059","98,822","12,519",820,"6,733"
Florida,12,FL,22,Florida 22nd,FL-22,67.5,11.2,16.6,2.8,0.1,1.8,38.5,,"$56,824","356,482","202,355","146,228",,100,56.3,43,,100,58.3,41,,"337,850","199,113","138,737",0,,,,,,,,6.9,4.7,5,"693,643","443,788","89,626","124,060","19,871","1,019","15,279","562,571","379,522","63,226","93,268","15,581",804,"10,170"
Florida,12,FL,23,Florida 23rd,FL-23,51.1,11.6,31.9,3.6,0.2,1.6,39.7,,"$60,910","337,782","209,079","120,967",,100,61.4,38,,100,62,37.3,,"323,120","183,225","130,818","9,077",,,,,,,,12.2,9.8,8.7,"695,383","340,184","86,158","228,644","25,349","1,595","13,453","542,450","277,370","62,833","172,906","19,661","1,095","8,585"
Florida,12,FL,24,Florida 24th,FL-24,13.9,45.9,36.9,1.5,0.1,1.5,19.4,,"$35,425","263,196","218,424","40,234",,100,85.7,13.9,,100,84,15.6,,0,0,0,0,,,,,,,,33.3,34.1,30.6,"697,844","89,549","337,273","248,912","9,792","1,040","11,278","530,066","73,855","243,559","195,840","8,031",714,"8,067"
Florida,12,FL,25,Florida 25th,FL-25,20,3.6,74.9,1,0.1,0.4,23.6,,"$44,823","264,255","126,702","131,186",,100,44.9,54.5,,100,40.6,58.8,,"253,240","95,319","157,921",0,,,,,,,,-2,-6.8,-12.8,"692,920","138,922","26,970","515,366","6,792","1,124","3,746","540,846","108,301","19,364","404,871","5,353",741,"2,216"
Florida,12,FL,26,Florida 26th,FL-26,18.9,10,68.3,1.7,0.1,1,24.2,,"$49,497","284,735","161,555","115,529",,100,55.4,43.9,,100,51.5,47.9,,"280,542","115,493","148,547","16,502",,,,,,,,7.2,3.8,-1.9,"696,241","127,112","77,216","472,680","11,026",748,"7,459","530,119","100,427","53,191","362,064","8,826",561,"5,050"
Florida,12,FL,27,Florida 27th,FL-27,24,4,69.1,1.9,0.1,0.9,38.2,,"$50,069","304,130","178,154","118,206",,100,53,46.3,,100,50.1,49.3,,"287,677","129,760","157,917",0,,,,,,,,9,1.4,-3.3,"698,036","169,539","29,143","479,637","12,576",435,"6,706","569,381","136,921","22,897","393,720","10,637",339,"4,867"
Georgia,13,GA,1,Georgia 1st,GA-01,63.7,28.1,4.9,1.8,0.3,1.3,24.3,27.7,"$45,796","269,568","110,190","151,996",,"260,148","111,949","145,460",,"261,140","116,029","143,603",,"210,243",0,"210,243",0,"156,512","61,175","95,337",0,"92,399","157,181",,-9.1,-8.5,-9,"691,918","419,688","205,123","39,664","11,689","1,980","13,774","518,703","330,246","145,605","25,606","9,097","1,556","6,593"
Georgia,13,GA,2,Georgia 2nd,GA-02,45,48.6,4,1.1,0.3,0.9,17.9,23,"$35,347","248,103","136,455","107,361",,"262,837","153,998","107,242",,"269,039","155,809","112,005",,"242,599","148,543","94,056",0,"162,900","96,363","66,537",0,"162,751","92,410",,4.9,7,4.5,"690,937","288,405","352,193","31,536","7,553","1,677","9,573","515,612","232,073","250,833","20,798","5,833","1,319","4,756"
Georgia,13,GA,3,Georgia 3rd,GA-03,71,21.7,4.3,1.6,0.3,1,25.8,27.3,"$52,584","311,865","102,155","200,624",,"296,218","97,746","195,071",,"296,017","100,498","193,264",,"303,187","95,969","207,218",0,"156,277",0,"156,277",0,0,"232,380",,-17.4,-18.6,-19.5,"697,477","477,844","158,870","35,149","11,679","1,692","12,243","515,563","366,166","111,992","22,397","8,394","1,295","5,319"
Georgia,13,GA,4,Georgia 4th,GA-04,31.1,54.7,8,4.5,0.2,1.5,30.5,37.6,"$50,668","298,663","224,907","66,433",,"296,933","218,499","75,951",,"308,702","225,977","81,136",,"290,739","220,146","70,593",0,"161,211","161,211",0,0,"208,861","75,041",,26.1,22.2,19.9,"692,084","190,587","392,460","63,141","30,367","1,350","14,179","504,112","156,967","275,552","40,166","22,748",959,"7,720"
Georgia,13,GA,5,Georgia 5th,GA-05,31.4,56,6.9,4,0.2,1.5,40.6,70.1,"$48,017","305,754","259,805","36,385",,"290,359","241,217","45,887",,"311,008","262,388","46,724",,"300,549","253,781","46,768",0,"170,326","170,326",0,0,"234,330","43,335",,36.6,32.1,31.2,"689,901","192,780","403,808","54,552","25,155","1,324","12,282","539,971","169,333","302,354","37,161","21,719","1,079","8,325"
Georgia,13,GA,6,Georgia 6th,GA-06,64.9,12.1,12,9.2,0.1,1.7,59.5,64.8,"$83,844","331,246","155,077","160,022",,"307,096","115,017","186,807",,"300,950","120,560","177,477",,"326,005","124,917","201,088",0,"210,504","71,486","139,018",0,"104,365","189,669",,-1.9,-13.9,-13.2,"692,704","433,874","84,022","92,523","65,757","1,088","15,440","519,945","337,499","62,792","62,367","47,906",774,"8,607"
Georgia,13,GA,7,Georgia 7th,GA-07,52.9,16.7,16.9,11.8,0.2,1.5,40,46.4,"$69,201","294,972","132,012","150,845",,"263,742","101,065","158,854",,"253,576","99,165","152,310",,"288,301","114,220","174,081",0,"173,669","60,112","113,557",0,"95,377","156,689",,-4.4,-13.1,-14.3,"691,120","342,977","121,398","131,041","79,630","1,277","14,797","489,192","258,577","81,701","82,793","57,940",903,"7,278"
Georgia,13,GA,8,Georgia 8th,GA-08,64.6,28,4.9,1.4,0.3,0.9,19.9,22.8,"$42,582","265,514","91,360","168,193",,"265,963","99,677","163,908",,"264,482","100,004","162,850",,"257,208","83,225","173,983",0,"129,938",0,"129,938",0,0,"197,789",,-15.9,-14.1,-15.6,"691,161","427,469","203,187","39,682","9,300","1,684","9,839","517,611","334,541","144,744","25,178","7,058","1,328","4,762"
Georgia,13,GA,9,Georgia 9th,GA-09,82.6,6.3,9,1.1,0.2,0.8,23,25.3,"$48,837","297,215","57,468","231,194",,"265,551","54,388","207,498",,"265,060","64,381","198,004",,"256,535",0,"256,535",0,"181,047","34,988","146,059",0,"60,052","192,101",,-31.2,-31.2,-29.2,"693,832","550,911","45,124","79,806","7,866","1,660","8,465","522,084","431,282","32,849","46,827","5,558","1,301","4,267"
Georgia,13,GA,10,Georgia 10th,GA-10,69.2,23.6,4,2,0.2,1,25,28.6,"$49,033","315,073","112,691","193,030",,"294,851","107,039","184,160",,"292,252","113,346","176,532",,"243,725",0,"243,725",0,"196,480","65,777","130,703",0,0,"211,065",,-14.3,-15.2,-14.6,"689,234","460,154","170,940","32,508","13,979","1,312","10,341","519,419","359,358","122,823","20,617","10,592",996,"5,033"
Georgia,13,GA,11,Georgia 11th,GA-11,71.5,14.6,9.4,2.8,0.2,1.4,41.2,43.9,"$69,662","329,615","116,457","198,813",,"300,276","94,447","201,014",,"296,160","102,718","190,544",,"323,318","105,383","217,935",0,"161,532",0,"161,532",0,"90,353","196,968",,-14.2,-20,-18.7,"693,142","477,347","104,934","76,058","19,143","1,550","14,110","512,972","366,918","74,957","48,003","14,483","1,194","7,417"
Georgia,13,GA,12,Georgia 12th,GA-12,60,32.5,4.5,1.7,0.2,1.1,20.8,24.2,"$42,336","267,674","108,937","152,204",,"268,283","117,085","148,688",,"265,819","116,658","147,742",,"258,912","99,420","159,492",0,"166,814","75,478","91,336",0,"139,148","119,973",,-9.4,-7.9,-9.6,"693,660","396,283","236,068","36,902","11,267","1,602","11,538","519,454","311,535","168,625","23,397","8,999","1,268","5,630"
Georgia,13,GA,13,Georgia 13th,GA-13,34.7,52.4,8.6,2.6,0.2,1.4,29.3,27,"$52,761","301,238","213,936","80,157",,"292,880","202,794","87,785",,"297,602","199,839","96,244",,"252,833","252,833",0,0,"159,445","159,445",0,0,"201,988","79,550",,21.6,17.8,13.8,"687,435","208,589","375,818","70,119","17,075","1,500","14,334","492,458","170,694","258,203","42,393","12,899","1,137","7,132"
Georgia,13,GA,14,Georgia 14th,GA-14,82,7.8,8.1,0.9,0.2,0.9,17,18.2,"$46,378","255,872","56,513","191,849",,"232,702","58,906","170,364",,"239,806","66,752","170,324",,"216,743",0,"216,743",0,"118,782",0,"118,782",0,"59,245","159,947",,-28.4,-26.3,-25.5,"693,048","547,012","56,855","71,008","6,384","1,583","10,206","509,005","417,325","39,916","41,299","4,637","1,215","4,613"
Hawaii,15,HI,1,Hawaii 1st,HI-01,18.3,1.8,5.7,61,0.2,13.1,34.3,50.4,"$77,156","209,300","132,009","63,916",,"216,671","151,023","62,875",,"222,577","156,408","63,007",,"202,357","145,417","45,958","10,982","179,844","93,390","86,454",0,"116,505","96,824",,16.3,18.6,17.6,"678,064","111,982","12,047","46,905","395,455",997,"110,678","537,531","98,207","9,615","30,437","327,826",828,"70,618"
Hawaii,15,HI,2,Hawaii 2nd,HI-02,33,1.2,8.7,38,0.3,18.8,28.3,41.7,"$70,420","219,637","134,882","64,931",,"218,026","155,635","58,140",,"230,991","169,463","57,559",,"210,516","170,848","39,668",0,"180,333","142,010","33,630","4,693","168,503","40,707",,16.4,20.8,21,"682,237","197,361","7,857","73,937","246,061","1,826","155,195","518,952","171,323","6,047","45,137","197,441","1,495","97,509"
Idaho,16,ID,1,Idaho 1st,ID-01,87.9,0.4,7.9,1.2,1.2,1.4,24.7,26.2,"$48,216","359,661","91,284","229,034",,"328,258","105,645","213,080",,"329,856","115,925","206,273",,"355,357","113,052","242,252",53,"220,864","77,277","143,580",7,"97,450","199,402",,-22.6,-18.8,-17.7,"784,103","668,447","3,355","78,672","9,079","9,123","15,427","571,430","502,212","2,124","45,339","6,872","6,622","8,261"
Idaho,16,ID,2,Idaho 2nd,ID-02,85.4,0.6,10.1,1.6,1.1,1.2,27.4,29.5,"$48,363","330,594","98,481","180,021",,"324,016","107,142","207,831",,"325,176","120,515","196,739",,"326,237","95,940","205,292","25,005","214,293","82,801","131,492",0,"110,847","207,412",,-15.8,-17.9,-15.7,"783,479","647,796","5,520","97,229","11,603","8,433","12,898","567,080","484,317","3,534","57,447","8,857","5,962","6,963"
Illinois,17,IL,1,Illinois 1st,IL-01,37.4,52.1,7.4,2,0.1,1,26.9,36.2,"$48,295","326,175","245,908","69,956",,"332,726","262,668","67,367",,"356,028","288,077","66,262",,"315,862","234,037","81,817",8,"222,017","162,268","59,749",0,"236,854","83,989",,26.7,27.6,27.6,"712,495","252,627","374,360","62,637","12,744",977,"9,150","533,507","199,662","277,796","39,223","10,511",725,"5,590"
Illinois,17,IL,2,Illinois 2nd,IL-02,33.4,53.5,11.1,0.7,0.2,1.1,22,26.9,"$44,353","303,622","236,726","58,024",,"311,173","251,147","57,674",,"332,652","269,943","60,734",,"294,522","235,051","59,471",0,"204,266","160,337","43,799",130,"188,303","69,115",,29.2,29.4,27.9,"713,236","210,988","394,458","91,093","4,813","1,090","10,794","522,175","174,661","279,233","57,885","3,840",803,"5,753"
Illinois,17,IL,3,Illinois 3rd,IL-03,66.4,4.6,24.4,3.7,0.1,0.8,26.2,31.2,"$61,772","284,970","157,383","113,779",,"256,893","143,676","109,396",,"273,174","159,475","110,701",,"225,411","225,320",0,91,"180,855","116,764","64,091",0,"168,738","77,653",,6.9,4.8,5.3,"712,113","442,966","33,004","202,543","25,408",700,"7,492","530,768","352,468","24,196","129,692","19,738",524,"4,150"
Illinois,17,IL,4,Illinois 4th,IL-04,26.2,3.9,65.8,3.1,0.1,0.8,23.4,48.2,"$46,805","209,931","172,374","27,807",,"169,434","137,065","28,899",,"180,051","144,949","32,767",,"171,297","171,297",0,0,"101,944","79,666","22,278",0,"133,226","27,279",,35,30.6,27.9,"714,974","153,066","28,121","507,444","18,802",796,"6,745","509,233","133,575","19,903","335,187","15,680",630,"4,258"
Illinois,17,IL,5,Illinois 5th,IL-05,73.3,2.5,16.1,6.7,0.1,1.3,52,58.7,"$76,963","326,036","229,937","78,069",,"285,239","188,324","90,747",,"307,613","214,869","88,466",,"313,724","212,842","86,222","14,660","184,019","116,364","56,350","11,305","177,729","77,289",,23.5,15.5,17.1,"712,744","500,737","18,191","133,545","46,674","1,038","12,559","582,376","426,788","14,631","93,619","38,750",839,"7,749"
Illinois,17,IL,6,Illinois 6th,IL-06,81.6,2.3,7.4,7.7,0.1,0.9,49.5,51.9,"$93,474","353,766","177,578","152,909",,"336,936","151,937","179,606",,"349,055","179,195","165,272",,"352,146","143,591","208,555",0,"238,752","78,465","160,287",0,"132,991","193,138",,2.6,-6.1,-1.7,"713,102","566,319","17,544","62,309","55,511",656,"10,763","531,232","433,579","12,097","39,493","40,783",486,"4,794"
Illinois,17,IL,7,Illinois 7th,IL-07,30.4,50,11.5,6.7,0.1,1.3,40.6,73.7,"$51,346","310,159","271,100","28,580",,"302,887","264,185","35,713",,"317,655","284,117","31,528",,"297,466","250,584","46,882",0,"182,278","155,110","27,168",0,"242,439","31,466",,39.3,36.1,36.3,"713,505","187,438","379,266","93,446","41,349",984,"11,022","551,986","167,727","276,123","63,601","36,733",778,"7,024"
Illinois,17,IL,8,Illinois 8th,IL-08,60.6,4,22.1,12,0.1,1.1,33.3,34.5,"$67,079","255,064","148,233","92,926",,"232,123","133,206","95,031",,"245,234","150,851","91,057",,"248,571","144,954","103,617",0,"151,056","84,178","66,878",0,"123,206","101,860",,10.4,6.4,8.7,"713,275","394,154","32,457","189,016","84,946",934,"11,768","535,959","324,592","21,672","118,611","64,345",620,"6,119"
Illinois,17,IL,9,Illinois 9th,IL-09,68,8.5,9.6,12.1,0.1,1.7,51.4,58,"$66,202","339,587","238,096","84,456",,"308,492","200,656","102,689",,"324,117","222,256","98,111",,"326,948","217,306","109,550",92,"213,450","141,000","72,384",66,"194,869","98,924",,22.7,14.2,15.7,"712,631","468,954","62,213","78,762","85,469",981,"16,252","564,386","383,724","47,909","54,193","68,137",764,"9,659"
Illinois,17,IL,10,Illinois 10th,IL-10,64.9,6.3,18.1,9.3,0.1,1.3,44.3,51.8,"$77,031","288,303","178,857","94,108",,"273,616","157,397","112,555",,"287,009","180,786","103,178",,"285,996","150,435","135,535",26,"187,128","91,136","95,992",0,"133,890","130,564",,14.4,6.3,10,"712,264","433,867","46,852","152,652","64,843","1,002","13,048","525,064","341,009","32,881","95,020","48,732",721,"6,701"
Illinois,17,IL,11,Illinois 11th,IL-11,59.8,10.4,21.8,6.8,0.1,1,33.4,39,"$67,065","279,620","164,632","99,104",,"263,345","152,265","107,028",,"273,024","168,654","102,909",,"275,573","166,578","108,995",0,"174,772","93,436","81,335",1,"148,928","105,348",,11.3,6.8,8.4,"711,647","390,596","77,737","182,106","48,032",842,"12,334","508,627","304,278","52,877","111,090","34,511",598,"5,273"
Illinois,17,IL,12,Illinois 12th,IL-12,79.7,15.5,2.4,1.1,0.2,1,22.5,23.4,"$46,803","315,846","126,817","173,693",,"310,294","154,346","149,339",,"327,336","179,180","142,724",,"313,002","124,246","169,976","18,780","209,738","87,860","110,038","11,840","157,000","129,902",,-8.9,-1.1,2,"712,791","550,069","120,416","20,708","7,333","1,592","12,673","547,710","436,641","84,898","13,357","5,810","1,297","5,707"
Illinois,17,IL,13,Illinois 13th,IL-13,83.5,9.1,2.5,3.5,0.2,1.2,30.8,30.6,"$50,211","319,979","141,541","159,013",,"301,088","146,442","147,377",,"320,653","175,215","139,650",,"314,394","126,811","187,583",0,"210,272","86,935","123,337",0,"136,032","137,034",,-4,-2.1,2,"710,999","577,477","73,967","20,798","23,112","1,320","14,325","561,827","469,043","50,983","14,323","19,746","1,076","6,656"
Illinois,17,IL,14,Illinois 14th,IL-14,83.5,2.4,9.4,3.8,0.1,0.8,40,41.2,"$86,050","343,417","153,989","167,348",,"316,591","139,858","171,582",,"326,086","163,089","155,194",,"338,097","137,589","200,508",0,"222,230","76,861","145,369",0,"124,351","177,603",,-3.2,-7.1,-2.4,"711,895","574,230","18,814","80,049","28,205",898,"9,699","508,613","424,746","12,216","47,669","19,479",640,"3,863"
Illinois,17,IL,15,Illinois 15th,IL-15,92.8,3.9,1.9,0.5,0.2,0.7,19,19.6,"$49,136","320,442","78,574","226,605",,"308,463","105,065","197,243",,"325,930","139,536","180,694",,"274,554",0,"274,554",0,"221,926","55,652","166,274",0,"94,162","205,775",,-25.4,-17.2,-10.1,"713,428","655,000","28,591","16,305","3,849","1,374","8,309","550,135","510,625","21,249","10,318","2,967","1,109","3,867"
Illinois,17,IL,16,Illinois 16th,IL-16,88,3.2,6.5,1.4,0.2,0.7,21.7,21.9,"$56,180","311,988","119,542","173,093",,"303,685","137,165","160,606",,"322,096","161,286","155,210",,"259,853",0,"259,722",131,"217,198","63,810","153,388",0,"112,301","181,789",,-10.3,-5.9,-2.7,"713,876","610,941","23,431","59,684","9,694","1,071","9,055","544,420","479,292","17,295","35,635","7,422",818,"3,958"
Illinois,17,IL,17,Illinois 17th,IL-17,81.7,9.6,6.4,1,0.2,1.1,18.4,19.8,"$45,731","287,103","133,999","136,017",,"294,701","169,702","119,753",,"309,647","185,705","119,094",,"287,068","173,125","113,943",0,"199,361","110,560","88,785",16,"153,519","134,623",,-1.5,6.7,7.2,"712,708","554,098","77,951","57,761","7,493","1,433","13,972","545,747","445,791","52,482","34,935","5,651","1,154","5,734"
Illinois,17,IL,18,Illinois 18th,IL-18,91.7,3.4,1.9,2,0.2,0.8,32,31.4,"$61,544","347,134","115,442","210,529",,"334,302","125,036","202,785",,"345,204","152,164","187,626",,"347,283","96,770","250,506",7,"246,740","62,377","184,363",0,"85,164","244,467",,-15.7,-13.8,-8.9,"712,949","644,226","25,551","16,720","15,286","1,161","10,005","547,688","502,334","18,770","10,546","10,975",864,"4,199"
Indiana,18,IN,1,Indiana 1st,IN-01,67.8,18.2,11.7,1.2,0.2,0.9,22.7,25.5,"$52,256","300,283","162,358","124,638",,"297,470","182,021","111,217",,"307,118","194,518","109,940",,"254,583","207,515",0,"47,068","142,293","86,579","51,000","4,714","187,743","91,291",,5.5,10.1,10.2,"719,572","459,201","140,935","99,421","8,425","1,438","10,152","539,744","365,848","98,416","63,019","6,532","1,068","4,861"
Indiana,18,IN,2,Indiana 2nd,IN-02,85.2,6,6.3,1.1,0.3,1,21,22.2,"$48,654","275,928","99,496","163,527",,"276,012","116,324","154,841",,"293,830","145,652","144,955",,"277,357","102,401","164,355","10,601","145,200","55,590","85,583","4,027","130,113","134,033",,-13.3,-9.1,-3.6,"721,243","590,503","47,848","59,526","8,058","2,138","13,170","536,097","456,670","32,369","34,000","6,065","1,609","5,384"
Indiana,18,IN,3,Indiana 3rd,IN-03,87.8,5.4,4.2,1.4,0.3,0.9,22.4,23.4,"$50,690","291,173","87,697","189,573",,"287,231","102,534","179,628",,"294,424","126,595","164,895",,"287,247","66,023","201,396","19,828","148,793","39,771","97,892","11,130","92,363","187,872",,-19.5,-15.6,-10.3,"720,169","613,567","42,520","38,919","11,518","1,773","11,872","526,624","462,130","28,444","22,235","7,612","1,329","4,874"
Indiana,18,IN,4,Indiana 4th,IN-04,89.5,2.9,4.1,2.4,0.2,0.9,25.8,25.8,"$54,897","302,370","91,264","194,402",,"279,662","103,103","170,245",,"300,714","134,036","162,956",,"299,434","91,256","193,412","14,766","142,054","47,056","94,998",0,"93,015","168,688",,-19.2,-14.2,-8.6,"720,466","632,668","22,272","37,835","16,067","1,471","10,153","546,655","489,418","15,709","22,492","13,226","1,143","4,667"
Indiana,18,IN,5,Indiana 5th,IN-05,85,7.8,3.4,2.6,0.2,1,44,44.4,"$65,165","363,584","150,081","192,998",,"342,165","139,300","196,744",,"342,865","159,614","180,400",,"361,135","123,849","221,957","15,329","161,440","49,756","105,277","6,407","125,347","194,570",,-7.4,-10.5,-6.7,"719,224","595,709","58,522","30,396","19,889","1,269","13,439","535,579","455,116","41,728","18,438","14,004",986,"5,307"
Indiana,18,IN,6,Indiana 6th,IN-06,93.9,2.4,1.8,0.9,0.2,0.8,19.8,19,"$50,588","301,524","82,498","204,129",,"285,361","106,371","172,456",,"305,271","133,163","167,842",,"296,385","79,135","204,920","12,330","155,071","45,509","102,187","7,375","96,678","162,613",,-22.3,-13.8,-9.4,"720,728","668,898","17,551","16,804","6,567","1,307","9,601","548,538","515,269","12,954","9,915","4,957","1,034","4,409"
Indiana,18,IN,7,Indiana 7th,IN-07,61.5,26.7,8.1,1.9,0.3,1.4,22.2,26.3,"$37,939","264,325","156,015","95,625",,"262,188","164,902","92,674",,"279,737","185,588","91,870",,"264,670","158,739","94,456","11,475","112,261","61,443","46,887","3,931","162,122","95,828",,10.9,12.1,13.2,"720,893","410,849","205,537","71,318","13,679","1,691","17,819","533,492","328,278","142,583","43,356","10,385","1,345","7,545"
